utc_ts,utc_dt,spot_usd_price,instrument_name,quote_currency,base_currency,volume,open_interest,type,strike,underlying_price,expiry,time_to_expiry,low,high,last,bid_price,ask_price,mid_price,mark_price,usd_bid,usd_ask,usd_mid,usd_mark,iv_bid,iv_ask,iv_mid,iv_mark,apy_bid,apy_ask,apy_mid,apy_mark,premium
1665515709,2022-10-12 03:15:09,19074.75,BTC-31MAR23-300000-P,BTC,BTC,0.0,0.0,p,300000,19130.26,2023-03-31 08:00:00,0.4662362396956246,,,,0.0005,,,14.68210671,9.537375,,,280057.51496657246,,,,,0.0010724177089417536,,,31.49070248075309,9.537375
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-5000-P,BTC,BTC,0.0,121.0,p,5000,19182.03,2023-06-30 08:00:00,0.7155196892834496,,,0.009,0.007,0.0095,0.00825,0.00805895,133.52325,181.210125,157.3666875,153.7224565125,0.9349163003820053,0.995771887215472,0.9665617647704843,0.961898880472544,0.00978309906050256,0.013277063010682048,0.011530081035592304,0.011263072310519588,133.52325
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-10000-P,BTC,BTC,1.0,163.3,p,10000,19182.03,2023-06-30 08:00:00,0.7155196892834496,0.0425,0.0425,0.0425,0.0395,0.044,0.04175,0.04155768,753.452625,839.289,796.3708125,792.70235658,0.7799219487531238,0.8109785292003637,0.79557514656088,0.7942473041981399,0.05520463041283588,0.06149376552315895,0.058349197967997424,0.05808041430923801,753.452625
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-13000-P,BTC,BTC,0.0,70.1,p,13000,19182.03,2023-06-30 08:00:00,0.7155196892834496,,,0.0855,0.0795,0.086,0.08275,0.08277446,1516.4426250000001,1640.4284999999998,1578.4355625,1578.902130885,0.7277551672370585,0.7573679802580924,0.742603655241586,0.7427150777263972,0.11110805361570766,0.1201923598861743,0.115650206750941,0.11568439169422953,1516.4426250000001
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-14000-P,BTC,BTC,0.0,46.7,p,14000,19182.03,2023-06-30 08:00:00,0.7155196892834496,,,0.0945,0.0975,0.1045,0.101,0.10099216,1859.788125,1993.311375,1926.5497500000001,1926.40020396,0.7163058334933274,0.74514317424437,0.7307478545540046,0.7307155585609311,0.13626459405699995,0.14604769311750251,0.14115614358725123,0.14114518651630348,1859.788125
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-15000-P,BTC,BTC,1.5,387.4,p,15000,19182.03,2023-06-30 08:00:00,0.7155196892834496,0.12,0.122,0.12,0.118,0.125,0.1215,0.12131281,2250.8205,2384.34375,2317.582125,2314.0115225474997,0.7072136539861987,0.7337217868279373,0.7204762587406902,0.7197673925733875,0.16491509844847171,0.1746981975089743,0.16980664797872302,0.16954503393398937,2250.8205
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-16000-P,BTC,BTC,0.0,561.4,p,16000,19182.08,2023-06-30 08:00:00,0.7155196892834496,,,0.1505,0.14,0.147,0.1435,0.1436732,2670.465,2803.98825,2737.226625,2740.5303717,0.6965744019874551,0.7213044855082686,0.7089396178080255,0.709551499033573,0.19566198121005124,0.20544508027055378,0.2005535307403025,0.20079559256277094,2670.465
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-17000-P,BTC,BTC,0.0,48.8,p,17000,19182.03,2023-06-30 08:00:00,0.7155196892834496,,,0.1685,0.1645,0.172,0.16825,0.16850977,3137.7963750000004,3280.8569999999995,3209.3266875000004,3214.2817353075,0.6881540033483293,0.7131987714662603,0.7006712073001545,0.7015386727939481,0.22990282792181022,0.2403847197723486,0.23514377384707943,0.23550682465321468,3137.7963750000004
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-18000-P,BTC,BTC,0.0,88.9,p,18000,19182.03,2023-06-30 08:00:00,0.7155196892834496,,,0.195,0.191,0.199,0.195,0.19524051,3643.27725,3795.87525,3719.57625,3724.1639181225,0.6802133115311736,0.7057672342447224,0.692981541650464,0.6937498142271559,0.26693884579371274,0.2781195304342871,0.2725291881139999,0.272865321421863,3643.27725
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-19000-P,BTC,BTC,37.5,616.1,p,19000,19182.03,2023-06-30 08:00:00,0.7155196892834496,0.2224,0.2271,0.2248,0.22,0.2275,0.22375,0.22359736,4196.445,4339.505625,4267.9753125,4265.06374266,0.6744488319785198,0.697612991527997,0.686022707288227,0.6855512861214631,0.30746882761579475,0.3179507194663332,0.312709773541064,0.3124964460781218,4196.445
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-20000-P,BTC,BTC,0.0,784.3,p,20000,19182.03,2023-06-30 08:00:00,0.7155196892834496,,,0.245,0.2435,0.265,0.25425,0.25448599,4644.701625,5054.80875,4849.7551875,4854.2566377525,0.6468578691478236,0.7116913226844991,0.6792148508589082,0.6799264799376453,0.3403120887474819,0.37036017871902555,0.35533613373325373,0.35566594995429485,4644.701625
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-21000-P,BTC,BTC,0.0,47.5,p,21000,19182.03,2023-06-30 08:00:00,0.7155196892834496,,,0.292,0.234,0.3455,0.28975,0.28720181,4463.4915,6590.326125,5526.9088125,5478.3027252975,0.5176177711011846,0.8495952094100221,0.6824497790878679,0.6748778554245795,0.3270350257367999,0.48286581791480493,0.40495042182580243,0.4013891082265193,4463.4915
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-22000-P,BTC,BTC,0.0,31.0,p,22000,19182.03,2023-06-30 08:00:00,0.7155196892834496,,,0.307,0.2855,0.3835,0.3345,0.32141953,5445.841125,7315.166625,6380.503875,6130.997179867501,0.5638220576411879,0.8538459655029107,0.7083112447180078,0.6697041128717136,0.3990106831104973,0.5359740699575332,0.46749237653401526,0.44921130028145356,5445.841125
1665515709,2022-10-12 03:15:09,19074.75,BTC-30JUN23-23000-P,BTC,BTC,0.0,213.4,p,23000,19182.03,2023-06-30 08:00:00,0.7155196892834496,,,0.354,0.2935,0.4215,0.3575,0.35820647,5598.439125,8040.007125,6819.2231249999995,6832.6988636325,0.4749961658239176,0.85465200913613,0.665746851239575,0.6678302935741227,0.4101913677510717,0.5890823220002613,0.49963684487566645,0.5006241971604198,5598.439125
